X,Y
242.7,-552.0
244.26713700500682,-553.1209831588529
246.06668183887118,-553.7927173418298
248.10737369139736,-554.0629949931725
250.39795175238962,-553.9796085571234
252.94715521165224,-553.5903504779244
255.76372325898953,-552.9430131998179
258.8563950842057,-552.085389167046
262.23390987710513,-551.0652708238507
265.905006827492,-549.9304506144742
269.8784251251707,-548.7287209831588
274.16290395994537,-547.5078743741466
278.7671825216204,-546.3157032316795
283.7,-545.2
283.7,-545.2
287.31496296296297,-544.490488888889
290.7557037037037,-543.9052444444445
294.01599999999996,-543.4192
297.0896296296296,-543.007288888889
299.97037037037035,-542.6444444444445
302.652,-542.3056
305.1282962962963,-541.965688888889
307.393037037037,-541.5996444444445
309.44,-541.1824
311.26296296296294,-540.6888888888889
312.8557037037037,-540.0940444444444
314.212,-539.3728
315.32562962962965,-538.500088888889
316.1903703703704,-537.4508444444444
316.8,-536.2
316.8,-536.2
316.89233940972224,-535.9131365740741
316.9699652777778,-535.6280092592593
317.03378906250003,-535.3453125000001
317.08472222222224,-535.0657407407408
317.1236762152778,-534.789988425926
317.1515625,-534.5187500000001
317.1692925347222,-534.2527199074075
317.1777777777778,-533.9925925925927
317.1779296875,-533.7390625
317.17065972222224,-533.4928240740742
317.1568793402778,-533.2545717592593
317.13750000000005,-533.0250000000001
317.11343315972226,-532.8048032407409
317.0855902777778,-532.594675925926
317.0548828125,-532.3953125
317.02222222222224,-532.2074074074075
316.9885199652778,-532.0316550925927
316.95468750000003,-531.8687500000001
316.92163628472224,-531.7193865740742
316.8902777777778,-531.5842592592593
316.8615234375,-531.4640625000001
316.8362847222222,-531.3594907407407
316.8154730902778,-531.271238425926
316.8,-531.2
316.8,-531.2
316.3661037037037,-530.2312296296296
315.7714962962963,-529.3218370370371
314.9968,-528.4672
314.02263703703704,-527.6626962962963
312.82962962962966,-526.9037037037037
311.39840000000004,-526.1856
309.7095703703704,-525.503762962963
307.743762962963,-524.8535703703704
305.4816,-524.2304
302.90370370370374,-523.6296296296297
299.99069629629633,-523.046637037037
296.7232,-522.4768
293.0818370370371,-521.9154962962964
289.04722962962967,-521.3581037037038
284.6,-520.8000000000001
284.6,-520.8000000000001
279.6352753755121,-520.2225762403277
275.11297223486577,-519.720254893036
271.0139736003642,-519.2687300864816
267.31916249431043,-518.8436959490215
264.0094219390078,-518.4208466090123
261.06563495675925,-517.9758761948111
258.468684569868,-517.4844788347747
256.19945380063723,-516.9223486572599
254.23882567137008,-516.2651797906236
252.56768320436962,-515.4886663632226
251.16690942193904,-514.5685025034138
250.01738734638144,-513.480382339554
249.10000000000002,-512.2
249.10000000000002,-512.2
249.0663516068053,-512.1332374455495
249.01909262759926,-512.0379222487055
248.96049149338376,-511.91499137009953
248.8928166351607,-511.7653817703625
248.81833648393197,-511.5900304101258
248.73931947069946,-511.3898742500206
248.65803402646506,-511.16585025067815
248.57674858223064,-510.9188953727296
248.49773156899815,-510.6499465768062
248.4232514177694,-510.35994082353915
248.35557655954634,-510.04981507355967
248.29697542533083,-509.720506287499
248.24971644612478,-509.3729514259884
248.21606805293007,-509.00808744965894
248.1982986767486,-508.626851319142
248.19867674858224,-508.2301799950687
248.21947069943292,-507.8190104380702
248.26294896030248,-507.3942796087779
248.33137996219284,-506.95692446782283
248.42703213610588,-506.5078819758363
248.5521739130435,-506.0480890934495
248.7090737240076,-505.5784827812937
248.90000000000003,-505.1
248.90000000000003,-505.1
249.53381924198254,-503.92820699708454
250.3766763848397,-502.88892128279883
251.44781341107876,-501.9677113702624
252.76647230320702,-501.1501457725948
254.35189504373182,-500.4217930029155
256.2233236151604,-499.768221574344
258.40000000000003,-499.175
260.901166180758,-498.62769679300294
263.7460641399417,-498.1118804664723
266.9539358600583,-497.6131195335277
270.5440233236152,-497.11698250728864
274.53556851311953,-496.6090379008746
278.9478134110787,-496.07485422740524
283.8,-495.5
283.8,-495.5
288.09876093294463,-494.97911807580175
292.0839650145773,-494.4798833819242
295.7604227405248,-493.9902696793003
299.132944606414,-493.49825072886296
302.2063411078717,-492.9918002915452
304.98542274052477,-492.4588921282799
307.475,-491.8875
309.6798833819242,-491.2655976676385
311.6048833819242,-490.5811588921283
313.2548104956268,-489.82215743440236
314.6344752186589,-488.9765670553936
315.7486880466472,-488.032361516035
316.60225947521866,-486.9775145772595
317.2,-485.8
317.2,-485.8
317.22518775603095,-485.73572485207103
317.2541647701411,-485.6585798816568
317.28628243058716,-485.56900887573966
317.32089212562585,-485.4674556213018
317.35734524351386,-485.35436390532544
317.39499317250795,-485.2301775147929
317.4331873008648,-485.0953402366864
317.47127901684115,-484.9502958579882
317.50861970869363,-484.79548816568047
317.5445607646791,-484.6313609467456
317.57845357305416,-484.4583579881657
317.60964952207553,-484.2769230769231
317.6375,-484.08750000000003
317.66135639508417,-483.8905325443787
317.68057009558487,-483.6864644970414
317.6944924897587,-483.4757396449704
317.7024749658625,-483.25880177514796
317.7038689121529,-483.03609467455624
317.69802571688666,-482.8080621301775
317.6842967683204,-482.5751479289941
317.6620334547109,-482.33779585798817
317.63058716431493,-482.096449704142
317.58930928538916,-481.8515532544379
317.53755120619024,-481.603550295858
317.4746643149749,-481.35288461538465
317.4,-481.1
317.4,-481.1
317.0205037037037,-480.1311111111111
316.4680296296296,-479.2208888888889
315.72159999999997,-478.36400000000003
314.76023703703703,-477.5551111111111
313.56296296296296,-476.7888888888889
312.1088,-476.06
310.37677037037037,-475.36311111111115
308.3458962962963,-474.6928888888889
305.9952,-474.044
303.3037037037037,-473.4111111111111
300.2504296296296,-472.7888888888889
