X,Y
245.12675402190197,-553.5060802091676
247.9375780463697,-554.0551554549506
250.80665886366702,-553.9344388563326
253.63931960319726,-553.447962719718
256.43245562904764,-552.7674121192575
259.19891693168734,-551.9846660681599
261.95094487155694,-551.1523727957186
264.69781166445347,-550.3031514453812
267.4461173486197,-549.4586063039351
270.2004123398807,-548.6338306364438
272.963722388141,-547.8398143895947
275.7379367936624,-547.0848113406155
278.5240886455115,-546.3751566386327
281.322558814108,-545.7157780508828
284.1330124209611,-545.1094934868484
286.9544552799113,-544.5566824950996
289.7866629274372,-544.061916344295
292.62745193988417,-543.6189970498385
295.4746409765421,-543.219184249641
298.32598140914286,-542.8500371109014
301.178922336393,-542.4934088878066
304.02992607871454,-542.121738829607
306.8724474921601,-541.6906543351515
309.69041201722416,-541.1229386450701
312.4341263256619,-540.2719327733229
314.9242784240383,-538.8570301477574
316.6473956825636,-536.5906532459081
317.17849325186353,-533.7859806662827
316.7093668610131,-530.9615377637988
315.1220035815465,-528.588864865346
312.8109224849271,-526.8931769467439
310.20291901775494,-525.68873909829
307.47787968868465,-524.7743743602471
304.6990476012419,-524.0376401168037
301.8917522895074,-523.4173563461718
299.06773079524737,-522.8779503858632
296.23308835745433,-522.3972833499636
293.3912950058695,-521.9607736021442
290.54446358016065,-521.5583676945325
287.69395281962494,-521.1828729031121
284.8406760838703,-520.8289849255964
281.9853988809541,-520.4915901657105
279.1288112546613,-520.165468311314
276.271288571193,-519.8476361107402
273.4133261441727,-519.5337773879705
270.5556332728668,-519.2174793669355
267.69931225064187,-518.88906179736
264.846251793456,-518.5335530797635
262.00006242942635,-518.127010169282
259.1685109629825,-517.6294598862852
256.3705283455522,-516.9708152457649
253.65818212001636,-516.0241478450495
251.1810483403747,-514.5795968216978
249.25853386331391,-512.4611044167696
248.30451616622344,-509.76753025528285
248.34066783057582,-506.90735154598553
249.34457157211344,-504.22811188312403
251.26032780480242,-502.1077422135824
253.74586111773976,-500.6761052647139
256.44827452547946,-499.7000331511164
259.23131319739235,-498.9803579152762
262.04888087897115,-498.4088162238779
264.8833129016127,-497.9271212459075
267.7268095771836,-497.50189968254216
270.57549583106515,-497.1128322871522
273.427254317654,-496.7469059094879
276.28083487564646,-496.39544572626636
279.1354505455255,-496.0524837919504
281.9905787927064,-495.71381164198067
284.8455909307163,-495.3741742395469
287.69981731689177,-495.0279860117815
290.55314632184303,-494.6744861138567
293.4048517033626,-494.30813810684276
296.2538542683657,-493.9213724077661
299.0984589865588,-493.5035689459078
301.9358301153789,-493.0393377213229
304.76086025894347,-492.5054480667204
307.56349164592723,-491.86498630787185
310.32158089967743,-491.05549532419946
312.9791325532314,-489.96420405345435
315.3739305793794,-488.3878771103989
317.0773171271895,-486.09966346063305
317.7011510617682,-483.31087763180875
317.1886240952819,-480.5033973239278
315.53071538836184,-478.18343144211127
313.1606419374684,-476.56969901346616
310.5281807384245,-475.41859646040336
307.79433552053746,-474.53040554903083
305.0132970127148,-473.8018064701046
302.2068084814248,-473.17775945482043
299.3850796485562,-472.62641709735584
296.5535049776697,-472.12795531330187
293.7151985500404,-471.66929398392654
290.8720846650623,-471.2413953077248
288.0254180088725,-470.8377793554424
285.17605288849313,-470.4536581382818
282.3244289313328,-470.086679998551
279.4714626698861,-469.7302597079655
276.6177561485191,-469.37981106981414
273.76379971453287,-469.03140135221804
270.91029003523676,-468.6793576793961
268.058284230473,-468.3153601518794
265.2095167297754,-467.9269144026697
262.3671005353727,-467.4946503894877
259.5372194077054,-466.98727784807
256.7336455536646,-466.3516536217719
253.99117307199933,-465.49287712372376
251.40784719901896,-464.24142463790093
249.24327046763537,-462.36869541406446
248.01443275836058,-459.81239889941975
247.96013561808186,-456.948143821666
248.69145262292366,-454.17650334884
250.33161240222705,-451.8408188239775
252.716445124683,-450.25429783510725
255.3998460256841,-449.2300570789137
258.18489626695236,-448.5191615369031
261.0089644216948,-447.9809378834075
263.85023184815236,-447.54140823138044
266.6998557376071,-447.1593847055606
269.5537341075533,-446.81040718652923
272.4097311258639,-446.47915883387515
275.2666169345097,-446.15564864574804
278.12361806387975,-445.83315675702204
280.9802097382835,-445.5070613362985
283.8360127644753,-445.17413457860425
286.6909054752778,-444.83348600664425
289.5447900694606,-444.48450331647626
292.39695623673634,-444.1217617621677
295.24646721009543,-443.73875543254076
298.0918492011398,-443.3262605920257
300.93064549588877,-442.87077846697497
303.758463966103,-442.35175375446596
306.5667429041,-441.7362944152151
309.3368764530194,-440.96850277639334
312.02262791085434,-439.94725665136195
314.4928528535907,-438.4883529652413
316.3981910338873,-436.3589993435756
317.3126564965906,-433.65485500848973
317.14675925965696,-430.80099710895047
315.8663116070381,-428.2537020883632
313.674777073972,-426.4128237469197
311.0976066009313,-425.14583946628954
308.3808894225388,-424.20757793202074
305.6046824157183,-423.46114906488845
302.79858500053064,-422.83549156942127
299.9755510204009,-422.2909313539895
297.1420525696534,-421.80354813377295
294.3016623586771,-421.3579813422339
291.4565090249387,-420.9438612528967
288.60793909533106,-420.5539025446944
285.7568463023777,-420.18281908087846
282.9037964132676,-419.82709017869814
280.04912286597664,-419.4846184944119
277.19342564822097,-419.15078312286624
274.33718676902635,-418.82160879492824
271.4810773202414,-418.4913157178234
268.62610317778166,-418.1513747081454
265.77391140791417,-417.78891422688497
262.92748303562104,-417.38390082184475
260.0928373213387,-416.90387167942606
257.2836570565023,-416.2935790702493
254.53519637063567,-415.4544102450805
251.9478851750749,-414.21173354406733
249.784098804151,-412.3382554468977
248.4275833857958,-409.82385474756626
247.92025079273685,-407.00425460202246
248.33658968515635,-404.17456616821147
249.75830284866709,-401.69888126977037
252.0326686368267,-399.96316010103527
254.68268734984966,-398.85792843523944
257.45730781108466,-398.1082066533881
260.27786469225924,-397.55219705622767
263.1181980280122,-397.10681411025274
265.9681054499059,-396.72698362678796
268.8230014045597,-396.3864693245926
271.68056924590434,-396.069076924204
274.53951808181745,-395.76434446618504
277.3990657478355,-395.4652740686679
280.2587030256565,-395.16706063891166
283.1179627752632,-394.86527271814253
285.97564311725847,-394.54886489872814
288.83216102260957,-394.2221402670939
291.68689003850085,-393.880159872352
294.5388570904483,-393.51590683598255
297.38646550297415,-393.1191037398448
300.2269137448944,-392.67411160760946
303.054858843643,-392.15595907124526
305.8589753271429,-391.52229553068844
308.61180219952587,-390.6960217927987
311.2354813852406,-389.5288243135399
313.49336352757365,-387.7692364456486
314.9187061935133,-385.2978847667487
315.2940369194837,-382.7437793975755
314.7833874200092,-379.63966809638003
313.38349631577773,-377.14992354386135
311.1712018018226,-375.3337506980655
308.56819145968234,-374.12211798620535
305.8236139043017,-373.2692410485582
303.0233140632011,-372.6190643802574
300.1974905800142,-372.08951756443327
297.3584418941483,-371.635702080076
294.5118978504423,-371.23134138345074
291.66083129800177,-370.8601080200069
288.8069221053734,-370.51135253006225
285.9511869710583,-370.1778551556072
283.09439810837324,-369.85349632278377
280.2379762907112,-369.5259126815172
277.381867110427,-369.1956171634442
274.5266167567689,-368.85798811097084
271.67302873361166,-368.50661151689485
268.82235139559083,-368.1324104861594
265.97664708940846,-367.72222031563075
263.1395661805691,-367.2563588381975
260.318093168441,-366.7043046967897
257.52682260752766,-366.01674914536204
254.79929739749653,-365.1111819979769
252.21876864189574,-363.85142596649615
249.98190814214823,-362.05927786169724
248.43352505296846,-359.6613970523062
248.061238535328,-356.823990258755
248.56996548275913,-354.00521480724535
250.03831016485137,-351.56531444126654
252.42210319079066,-349.9856413997714
255.1399594997522,-349.0585163306058
257.95291925368184,-348.467788197235
260.7972277377528,-348.04935220640283
263.6536088870771,-347.72195631396147
266.5150607185553,-347.4418456621547
269.3785752144161,-347.18352849780763
272.2426295571814,-346.9312403745745
275.106314389233,-346.6748024103502
277.96899832448736,-346.4074412980966
280.8301887253125,-346.1245614956406
283.6894705504733,-345.82301415571135
286.54662182531314,-345.5019171348158
289.4009533762632,-345.1566785131606
292.25166015849237,-344.7827209997265
295.0976089104086,-344.37417618660066
297.93711381428125,-343.9230924587458
300.76754212236983,-343.4183002812001
303.5845195743949,-342.8433843901893
306.38016310226317,-342.17278085119176
309.1386076401512,-341.36355395552545
311.8225726380256,-340.3362396104933
314.3238197609231,-338.92849688743325
316.2816041491454,-336.85134057161855
317.14291238649093,-334.13038250636697
316.9348206715225,-331.2759970975402
315.92987097028765,-328.59121333485575
314.0935980550906,-326.3978917206856
311.6596779994844,-324.8836206683842
308.96032426439524,-323.90189891897455
306.1639561686304,-323.23713071517966
303.33021690831566,-322.75253577177426
