X,Y
92.168126,-77.629042
91.516210988,-77.953414933
90.895132544,-78.313029664
90.302130656,-78.704731891
89.734445312,-79.125367312
89.1893165,-79.571781625
88.663984208,-80.040820528
88.155688424,-80.529329719
87.75102922173576,-80.94080226784854
87.75102922173576,-80.94080226784854
87.75102922173576,-80.94080226784854
