X,Y
68.52279920598454,-65.0114250504462
68.42243238886488,-65.01972329885889
67.78237816157572,-65.06879661854575
67.14184408392404,-65.1111467081273
66.5008932438369,-65.14663360088487
65.85959478714247,-65.17515553237828
65.21802270019059,-65.19666003976747
64.57625397794928,-65.21115653513057
63.934366113578946,-65.21873013012704
63.292433904643055,-65.2195562826365
62.65052566425438,-65.21391558205075
62.00869905285286,-65.20220770498783
61.36699689870053,-65.18496328962827
60.725443529545146,-65.16285224450523
60.084042256349484,-65.13668689086941
59.442774683490775,-65.1074184064532
58.8016024199938,-65.07612535156728
58.160471504151005,-65.04399364349281
57.51931944072204,-65.01228817780014
56.87808425069423,-64.98231728674466
56.23671446306999,-64.95539222459044
55.59517867113933,-64.93278468791816
54.95347324128585,-64.91568582970469
54.311627037255874,-64.9051701803048
53.66991224169752,-64.9077667079514
53.08019369044964,-65.1354068319187
52.737828035698826,-65.66875864869044
52.613705323084886,-66.29714349126574
52.58594364600784,-66.93824859389504
52.59585176868779,-67.5800820368188
52.61216664144071,-68.22180747950205
52.611039277799435,-68.86368555374249
52.56646370286501,-69.50384308593739
52.44210865764183,-70.13288197941768
52.18540472730463,-70.71901695549155
51.75197272362589,-71.18727338732505
51.17723919850592,-71.46610228655985
50.54560275422179,-71.5722604582563
49.91030935187246,-71.50596723630089
49.36638911444817,-71.17829745553904
49.0255312398566,-70.63899295292889
48.84918552682916,-70.02286240843786
48.76424656324683,-69.38685473870478
48.727091657832126,-68.746066253573
48.71177685795793,-68.1043226435662
48.69917537955357,-67.46251364256108
48.670407476727505,-66.82127064112184
48.60012555859276,-66.18342188110552
48.444226153865586,-65.5617143633807
48.11982217688558,-65.01291051680622
47.5708714718877,-64.69772064022892
