X,Y
68.52279920598454,-65.0114250504462
67.46704564746229,-65.09049880932784
65.4220256611797,-65.190584696845
63.53434114814816,-65.22002185185185
61.77251021536352,-65.19647246364883
60.10505096982168,-65.13759872153635
58.50048151851853,-65.0610628148148
56.927319968449936,-64.98452693278463
55.354084426611806,-64.92565326474622
53.74929300000001,-64.902104
53.74929300000001,-64.902104
53.16123046205861,-65.07523180390683
52.8100991923366,-65.49138803456047
52.637918161532696,-66.09833928399699
52.586706340345614,-66.84385214425244
52.59848269947409,-67.67569320736288
52.61526620961684,-68.54162906536438
52.57907584147259,-69.389426310293
52.43193056574005,-70.16685153418481
52.115849353117966,-70.82167132907588
51.57285117430504,-71.30165228700224
50.74495500000001,-71.55456099999999
50.74495500000001,-71.55456099999999
49.913326448534946,-71.50687698647633
49.35007240646132,-71.1612878835462
49.0016679286251,-70.57865582494365
48.814588069872286,-69.8198429444027
48.73530788504885,-68.9457113756574
48.71030242900076,-68.01712325244176
48.686046756574015,-67.09494070848984
48.60901592261459,-66.24002587753569
48.42568498196845,-65.5132408933133
48.0825289894816,-64.97544788955672
47.52602300000001,-64.68750899999999
